Time	cycle	Idle	Open	Setup	TotalWork	Lateness	OEE	New
139439	937.8375465	23.83916667	78	15.38	25.12	-2820	31.41	8
139680	937.7516679	43.12	70	14.9	25.35	-2821.941438	31.69	0
139919	937.8432753	22.07043478	79	12.03	22.91	-2821.761393	28.63	10
140160	938.1958534	34.73608696	77	14.69	33.61	-2822.115883	42.01	0
140400	938.2045118	20.99833333	80	12.62	22.67	-2821.901627	28.33	6
140639	937.5769089	34.63545455	73	15.42	20.67	-2824.239764	25.84	0
140880	937.5953608	16.95363636	75	9.59	14.34	-2824.459867	17.92	7
141119	937.5937615	32.655	66	12.82	27.22	-2825.979083	34.02	0
141360	938.0336873	20.71791667	65	9.59	19.73	-2827.087514	24.66	5
141599	938.2804967	50.89565217	58	13.26	14.18	-2825.028123	17.73	0
141840	938.4959942	37.6625	60	10.12	12.86	-2827.866715	16.08	10
142079	938.8559476	57.34291667	57	14.56	33.85	-2828.240451	42.31	0
142319	938.4651163	30.55130435	65	17.77	24.85	-2828.03125	31.07	11
142559	938.3963017	50.70695652	59	16.92	34.42	-2827.294416	43.02	0
142800	938.3036554	41.68625	67	15.48	35.56	-2827.073471	44.45	13
143040	938.4181424	49.51041667	63	16.48	38.81	-2828.080954	48.52	0
143279	938.64345	42.84208333	68	17.53	32.62	-2829.682064	40.77	9
143520	938.2465753	67.02041667	65	17.08	37.39	-2829.752704	46.73	0
143760	938.2326251	47.62625	76	15.62	34.94	-2830.338855	43.67	14
144000	938.3002517	56.83391304	72	17.17	40.81	-2830.566343	51.02	0
144239	937.7865088	57.70333333	76	14.48	43.66	-2832.011482	54.58	10
144480	937.715616	51.80875	71	14.79	40.23	-2831.643625	50.29	0
144719	937.77372	48.54166667	79	16.07	31.92	-2831.393842	39.91	9
144959	937.6475	71.51875	72	15.27	30.71	-2830.277857	38.39	0
145200	937.9779202	49.34083333	79	14.09	36.99	-2829.5349	46.24	15
145439	937.846318	60.5425	76	15.02	42.38	-2828.927072	52.98	0
145680	937.9708807	57.61375	81	15.66	38.88	-2826.762074	48.7	10
145920	937.8181496	46.88416667	76	15.71	35.1	-2826.981212	43.88	0
146159	938.1379554	35.325	77	17.18	34.2	-2828.101875	42.76	7
146400	938.3319209	58.59083333	72	16.04	35.91	-2827.081215	44.94	0
146640	938.7700176	54.88458333	85	14.19	31.5	-2826.518871	39.38	16
146880	938.6849894	74.41416667	82	13.85	46.12	-2825.877026	57.84	0
147119	938.8019698	75.06833333	94	15.48	35.4	-2824.90714	44.25	17
147360	938.8485594	73.67291667	91	17.03	46.2	-2824.51019	57.75	0
147599	938.6214035	58.63833333	101	16.02	47.62	-2824.466316	59.6	14
147839	939.4042032	69.76818182	96	14.21	45.19	-2823.141856	56.48	0
148080	939.9147747	80.40217391	106	15.54	37.39	-2822.129934	46.73	18
148320	940.2363002	65.99833333	104	14.27	48.69	-2821.183595	60.86	0
148560	940.8301953	39.3225	105	14.1	41.6	-2820.252441	52.01	4
148800	941.4272791	55.96875	99	16.1	39.08	-2819.503479	48.85	0
149039	942.478125	45.99625	104	17.05	33.54	-2818.531597	41.95	11
149279	942.8305085	38.12625	93	17.62	38.42	-2816.687997	48.02	0
149519	943.5966184	24.10347826	92	15.83	35.12	-2816.005866	43.91	6
149760	944.3596008	43.10541667	84	16.22	29.17	-2817.011356	36.46	0
150000	944.8657741	27.70458333	86	11.58	22.81	-2815.263302	28.52	9
150239	945.4849212	42.25208333	81	15.46	29.44	-2813.062714	36.79	0
150480	946.6773753	32.07875	81	15.68	26.27	-2812.256323	32.83	8
150720	948.0296827	37.64708333	76	15.21	20.9	-2811.627431	26.12	0
150959	948.6989101	22.57791667	79	14.06	23.93	-2811.246935	29.92	8
151200	950.1786685	38.61869565	71	14.65	29.79	-2811.154552	37.24	0
151440	950.3189831	31.23869565	76	14.75	26.54	-2809.675254	33.18	11
151680	951.7472973	34.6075	66	14.94	30.9	-2810.459459	38.62	0
151919	952.4494268	26.56909091	67	15.15	21.67	-2812.140931	27.25	7
152160	952.3646465	50.65208333	63	15.73	27.66	-2812.774411	34.57	0
152400	952.5255548	33.055	70	12.75	20.58	-2813.719906	25.89	11
152640	952.4754704	53.19875	68	15.12	31.15	-2814.094086	38.93	0
152879	952.3455216	38.8725	73	14.81	25.38	-2813.09896	31.72	10
